_c0,signal_std,signal_rad,pluie
2022-12-07T21:58:00.000+01:00,-19.972017,-31.152414,0
2022-12-07T21:59:00.000+01:00,-20.025284,-31.144604,0
2022-12-07T22:00:00.000+01:00,-20.022442,-31.151705,0
2022-12-07T22:01:00.000+01:00,-20.028835,-31.147444,0
2022-12-07T22:02:00.000+01:00,-20.003979,-31.143892,0
2022-12-07T22:03:00.000+01:00,-19.986221,-31.14034,0
2022-12-07T22:04:00.000+01:00,-20.027414,-31.139631,0
2022-12-07T22:05:00.000+01:00,-20.011078,-31.14318,0
2022-12-07T22:06:00.000+01:00,-19.959232,-31.141052,0
2022-12-07T22:07:00.000+01:00,-19.994034,-31.145313,0
2022-12-07T22:08:00.000+01:00,-20.04517,-31.148865,0
2022-12-07T22:09:00.000+01:00,-20.005398,-31.141052,0
2022-12-07T22:10:00.000+01:00,-19.95,-31.1375,0
2022-12-07T22:11:00.000+01:00,-19.987642,-31.13963,0
2022-12-07T22:12:00.000+01:00,-20.001137,-31.148153,0
2022-12-07T22:13:00.000+01:00,-20.036648,-31.148865,0
2022-12-07T22:14:00.000+01:00,-19.963493,-31.125427,0
2022-12-07T22:15:00.000+01:00,-20.005398,-31.144602,0
2022-12-07T22:16:00.000+01:00,-19.91804,-31.13821,0
2022-12-07T22:17:00.000+01:00,-20.082813,-31.132528,0
2022-12-07T22:18:00.000+01:00,-20.003977,-31.141052,0
2022-12-07T22:19:00.000+01:00,-19.970596,-31.155256,0
2022-12-07T22:20:00.000+01:00,-19.974148,-31.139631,0
2022-12-07T22:21:00.000+01:00,-19.98196,-31.153835,0
2022-12-07T22:22:00.000+01:00,-19.975567,-31.148153,0
2022-12-07T22:23:00.000+01:00,-19.853409,-31.165909,0
2022-12-07T22:24:00.000+01:00,-20.135368,-31.163778,0
2022-12-07T22:25:00.000+01:00,-19.935085,-31.154545,0
2022-12-07T22:26:00.000+01:00,-19.967754,-31.163778,0
2022-12-07T22:27:00.000+01:00,-19.943607,-31.161648,0
2022-12-07T22:28:00.000+01:00,-20.079971,-31.172302,0
2022-12-07T22:29:00.000+01:00,-20.019602,-31.154545,0
2022-12-07T22:30:00.000+01:00,-20.036648,-31.13608,0
2022-12-07T22:31:00.000+01:00,-19.840626,-31.143892,0
2022-12-07T22:32:00.000+01:00,-20.021732,-31.152416,0
2022-12-07T22:33:00.000+01:00,-19.976278,-31.152414,0
2022-12-07T22:34:00.000+01:00,-20.060795,-31.158806,0
2022-12-07T22:35:00.000+01:00,-20.029545,-31.154545,0
2022-12-07T22:36:00.000+01:00,-20.055824,-31.16449,0
2022-12-07T22:37:00.000+01:00,-19.996876,-31.155254,0
2022-12-07T22:38:00.000+01:00,-19.975567,-31.150993,0
2022-12-07T22:39:00.000+01:00,-20.055824,-31.147442,0
2022-12-07T22:40:00.000+01:00,-20.046593,-31.146732,0
2022-12-07T22:41:00.000+01:00,-20.126137,-31.153126,0
2022-12-07T22:42:00.000+01:00,-20.10767,-31.154545,0
2022-12-07T22:43:00.000+01:00,-20.006817,-31.160229,0
2022-12-07T22:44:00.000+01:00,-19.983381,-31.155968,0
2022-12-07T22:45:00.000+01:00,-20.069317,-31.153126,0
2022-12-07T22:46:00.000+01:00,-20.00895,-31.145313,0
2022-12-07T22:47:00.000+01:00,-19.991903,-31.148865,0
2022-12-07T22:48:00.000+01:00,-20.001846,-31.149574,0
2022-12-07T22:49:00.000+01:00,-20.01463,-31.142471,0
2022-12-07T22:50:00.000+01:00,-19.972017,-31.148865,0
