pluie,mean_std,stddev_std,mean_rad,stddev_rad,window_start,window_end
1,-22.784872,,-29.55547,,2022-09-20T14:38:00.000+02:00,2022-09-20T14:39:00.000+02:00
0,-22.741903,,-29.845242,,2022-06-09T12:06:00.000+02:00,2022-06-09T12:07:00.000+02:00
0,-23.737997,,-30.62507,,2022-10-23T08:32:00.000+02:00,2022-10-23T08:33:00.000+02:00
0,-22.528126,,-29.724503,,2022-11-05T17:33:00.000+01:00,2022-11-05T17:34:00.000+01:00
0,-22.10909,,-29.369743,,2022-07-29T19:31:00.000+02:00,2022-07-29T19:32:00.000+02:00
0,-22.083878,,-29.247585,,2022-07-26T02:03:00.000+02:00,2022-07-26T02:04:00.000+02:00
0,-22.286293,,-29.47699,,2022-08-22T18:09:00.000+02:00,2022-08-22T18:10:00.000+02:00
1,-23.06328,,-29.64034,,2022-10-01T22:59:00.000+02:00,2022-10-01T23:00:00.000+02:00
0,-20.801918,,-29.159163,,2022-12-18T07:23:00.000+01:00,2022-12-18T07:24:00.000+01:00
0,-22.154545,,-29.07074,,2022-12-11T03:30:00.000+01:00,2022-12-11T03:31:00.000+01:00
0,-23.48409,,-30.308664,,2022-12-03T23:50:00.000+01:00,2022-12-03T23:51:00.000+01:00
0,-22.309021,,-29.347729,,2022-08-30T07:34:00.000+02:00,2022-08-30T07:35:00.000+02:00
0,-22.185795,,-29.32784,,2022-07-31T02:08:00.000+02:00,2022-07-31T02:09:00.000+02:00
1,-23.04304,,-29.850569,,2022-10-03T05:10:00.000+02:00,2022-10-03T05:11:00.000+02:00
0,-22.363708,,-29.572159,,2022-07-30T11:46:00.000+02:00,2022-07-30T11:47:00.000+02:00
0,-24.046236,,-31.07074,,2022-12-06T14:49:00.000+01:00,2022-12-06T14:50:00.000+01:00
0,-22.371521,,-28.600569,,2022-08-28T05:43:00.000+02:00,2022-08-28T05:44:00.000+02:00
1,-22.308664,,-28.886791,,2022-09-02T02:16:00.000+02:00,2022-09-02T02:17:00.000+02:00
0,-22.942898,,-29.853764,,2022-10-02T01:10:00.000+02:00,2022-10-02T01:11:00.000+02:00
0,-22.501492,,-29.374716,,2022-08-31T12:14:00.000+02:00,2022-08-31T12:15:00.000+02:00
0,-22.2451,,-29.208168,,2022-06-04T07:45:00.000+02:00,2022-06-04T07:46:00.000+02:00
0,-23.437927,,-30.551563,,2022-10-16T16:24:00.000+02:00,2022-10-16T16:25:00.000+02:00
1,-22.367258,,-29.194319,,2022-05-31T18:28:00.000+02:00,2022-05-31T18:29:00.000+02:00
0,-22.088493,,-29.205326,,2022-08-09T03:50:00.000+02:00,2022-08-09T03:51:00.000+02:00
0,-23.081038,,-29.989418,,2022-10-13T22:59:00.000+02:00,2022-10-13T23:00:00.000+02:00
0,-22.588139,,-30.233025,,2022-11-08T20:44:00.000+01:00,2022-11-08T20:45:00.000+01:00
0,-22.887856,,-30.127558,,2022-11-20T00:12:00.000+01:00,2022-11-20T00:13:00.000+01:00
0,-22.394602,,-28.535227,,2022-08-28T06:00:00.000+02:00,2022-08-28T06:01:00.000+02:00
0,-22.970596,,-29.850924,,2022-09-30T00:09:00.000+02:00,2022-09-30T00:10:00.000+02:00
0,-22.609802,,-29.641407,,2022-07-03T03:12:00.000+02:00,2022-07-03T03:13:00.000+02:00
0,-22.474503,,-29.553694,,2022-05-23T16:06:00.000+02:00,2022-05-23T16:07:00.000+02:00
0,-22.496164,,-29.535938,,2022-11-04T01:39:00.000+01:00,2022-11-04T01:40:00.000+01:00
0,-20.986576,,-29.32287,,2022-12-31T13:27:00.000+01:00,2022-12-31T13:28:00.000+01:00
0,-22.502913,,-29.524574,,2022-11-04T02:26:00.000+01:00,2022-11-04T02:27:00.000+01:00
0,-23.176563,,-30.120098,,2022-10-08T21:18:00.000+02:00,2022-10-08T21:19:00.000+02:00
0,-22.816833,,-29.648865,,2022-09-17T12:23:00.000+02:00,2022-09-17T12:24:00.000+02:00
0,-22.13821,,-29.390697,,2022-07-25T18:57:00.000+02:00,2022-07-25T18:58:00.000+02:00
0,-22.772444,,-29.723438,,2022-11-03T07:10:00.000+01:00,2022-11-03T07:11:00.000+01:00
0,-23.077131,,-29.89034,,2022-10-03T06:02:00.000+02:00,2022-10-03T06:03:00.000+02:00
0,-23.874006,,-30.539133,,2022-12-06T03:41:00.000+01:00,2022-12-06T03:42:00.000+01:00
0,-22.338139,,-29.207813,,2022-08-28T05:10:00.000+02:00,2022-08-28T05:11:00.000+02:00
